ProductKey,InterestKey
1,8
1,5
2,2
3,1
3,7
4,2
4,4
4,3
5,7
5,8
5,1
6,8
6,5
6,1
7,7
7,2
7,3
8,5
8,9
8,10
9,8
9,4
9,3
10,10
11,4
11,3
11,8
12,7
13,9
13,5
13,1
14,5
14,7
14,6
15,5
15,8
15,10
16,6
16,9
17,10
18,3
18,10
19,10
19,4
19,5
20,5
20,9
21,7
22,7
22,5
23,9
23,1
24,7
24,9
24,2
25,9
26,4
26,5
27,4
27,7
28,7
28,2
29,5
29,10
30,1
30,2
30,3
31,4
32,4
32,6
33,9
33,10
34,4
34,3
35,7
35,9
35,4
36,1
37,3
37,7
37,8
38,7
38,9
38,6
39,2
40,6
41,2
41,3
41,1
42,9
42,3
43,1
44,4
44,6
45,10
45,2
45,7
46,7
46,4
47,6
47,1
47,4
48,2
48,1
48,7
49,5
49,1
49,4
50,1
51,6
51,4
52,2
53,4
53,10
53,7
54,2
54,7
55,7
56,2
56,4
56,10
57,1
57,7
57,2
58,9
58,8
58,7
59,10
59,1
60,5
60,6
61,6
61,1
61,9
62,10
62,8
62,3
63,9
64,6
64,3
65,1
65,8
65,2
66,5
66,6
66,4
67,1
68,6
68,8
68,2
69,3
69,10
70,8
70,1
70,7
71,5
71,1
71,10
72,5
73,5
74,7
75,1
75,8
75,6
76,5
77,3
77,1
78,9
78,1
78,5
79,9
79,2
79,4
80,8
80,1
81,6
81,7
81,2
82,7
83,4
83,8
84,1
84,10
84,9
85,8
85,5
85,9
86,10
86,1
86,3
87,3
87,5
88,9
88,6
89,3
89,2
89,8
90,7
91,10
91,5
92,8
92,3
92,2
93,5
94,4
94,5
94,2
95,3
95,1
95,5
96,10
96,9
96,5
97,9
98,2
99,5
100,8
100,1
100,3
101,10
101,9
101,6
102,7
102,8
102,3
103,9
104,5
104,1
104,4
105,10
106,7
106,5
107,8
107,7
107,6
108,1
108,8
108,7
