Table,Column,SuggestedDataType,SampleValue,Note
DimDate,DateKey,Whole Number,20220101,
DimDate,Date,Text/Date,2022-01-01,
DimDate,Year,Whole Number,2022,
DimDate,Quarter,Whole Number,1,
DimDate,QuarterLabel,Text/Date,Q1,
DimDate,YearQuarter,Text/Date,2022-Q1,
DimDate,MonthNumber,Whole Number,1,
DimDate,MonthName,Text/Date,January,
DimDate,MonthShort,Text/Date,Jan,
DimDate,YearMonth,Text/Date,2022-01,
DimDate,MonthStartDateKey,Whole Number,20220101,
DimDate,WeekNumberISO,Whole Number,52,
DimDate,ISOYear,Whole Number,2021,
DimDate,WeekdayNumber,Whole Number,6,
DimDate,WeekdayName,Text/Date,Saturday,
DimDate,IsWeekend,Boolean,True,
DimDate,IsWorkingDay,Boolean,False,
DimDate,HolidayName,Text/Date,New Year,
DimDate,FiscalYear,Whole Number,2022,
DimDate,FiscalQuarter,Whole Number,3,
DimDate,FiscalMonthNumber,Whole Number,7,
DimDate,DaysFromStart,Whole Number,0,
DimGeography,GeographyKey,Whole Number,1,
DimGeography,CountryCode,Text/Date,PL,
DimGeography,Country,Text/Date,Poland,
DimGeography,Region,Text/Date,Central Europe,
DimGeography,StateProvince,Text/Date,Mazowieckie,
DimGeography,City,Text/Date,Warsaw,
DimGeography,CurrencyCode,Text/Date,PLN,
DimProductCategory,ProductCategoryKey,Whole Number,1,
DimProductCategory,ProductCategoryName,Text/Date,Bikes,
DimProductCategory,SortOrder,Whole Number,1,
DimProductSubcategory,ProductSubcategoryKey,Whole Number,1,
DimProductSubcategory,ProductSubcategoryName,Text/Date,Road Bikes,
DimProductSubcategory,ProductCategoryKey,Whole Number,1,
DimProduct,ProductKey,Whole Number,1,
DimProduct,ProductCode,Text/Date,P-0001,
DimProduct,ProductName,Text/Date,Tailspin Toys Road Bike White S,
DimProduct,ProductSubcategoryKey,Whole Number,1,
DimProduct,Brand,Text/Date,Tailspin Toys,
DimProduct,Color,Text/Date,White,
DimProduct,Size,Text/Date,XL,
DimProduct,ListPrice,Decimal Number,1180.49,
DimProduct,StandardCost,Decimal Number,572.14,
DimProduct,AvailableForSaleDate,Text/Date,2022-08-27,
DimProduct,DiscontinuedDate,Text/Date,,
DimProduct,IsHighMargin,Boolean,True,
DimProduct,SKUHighCardinality,Text/Date,SKU-0001-308496,
DimCustomer,CustomerKey,Whole Number,1,
DimCustomer,CustomerCode,Text/Date,C000001,
DimCustomer,FirstName,Text/Date,Adam,
DimCustomer,LastName,Text/Date,Jansen,
DimCustomer,FullName,Text/Date,Adam Jansen,
DimCustomer,Gender,Text/Date,M,
DimCustomer,BirthDate,Text/Date,1971-01-25,
DimCustomer,JoinDate,Text/Date,2021-04-05,
DimCustomer,CustomerSegment,Text/Date,Consumer,
DimCustomer,GeographyKey,Whole Number,26,
DimCustomer,EmailHighCardinality,Text/Date,adam.jansen.1@example.com,
DimCustomer,IsNewsletterSubscriber,Boolean,False,
DimStore,StoreKey,Whole Number,1,
DimStore,StoreName,Text/Date,Warsaw Store 01,
DimStore,StoreType,Text/Date,Standard,
DimStore,GeographyKey,Whole Number,1,
DimStore,OpenDate,Text/Date,2018-09-22,
DimStore,FloorSizeSqM,Whole Number,400,
DimStore,IsOnline,Boolean,False,
DimEmployee,EmployeeKey,Whole Number,1,
DimEmployee,EmployeeName,Text/Date,Alicja Zielinska,
DimEmployee,ManagerEmployeeKey,Text/Date,,
DimEmployee,Role,Text/Date,CEO,
DimEmployee,Department,Text/Date,Executive,
DimEmployee,HireDate,Text/Date,2017-01-15,
DimCurrency,CurrencyCode,Text/Date,PLN,
DimCurrency,CurrencyName,Text/Date,Polish Zloty,
DimCurrency,Symbol,Text/Date,zł,
FactExchangeRate,DateKey,Whole Number,20220101,
FactExchangeRate,CurrencyCode,Text/Date,EUR,
FactExchangeRate,RateToEUR,Decimal Number,1.0,
FactExchangeRate,RateToPLN,Decimal Number,4.55,
FactSales,OrderLineID,Whole Number,1,
FactSales,OrderNumber,Text/Date,SO-2022-938394,
FactSales,OrderDateKey,Whole Number,20220309,
FactSales,ShipDateKey,Whole Number,20220310,
FactSales,DeliveryDateKey,Whole Number,20220315,
FactSales,CustomerKey,Whole Number,1107,
FactSales,ProductKey,Whole Number,103,
FactSales,StoreKey,Whole Number,5,
FactSales,EmployeeKey,Whole Number,33,
FactSales,CurrencyCode,Text/Date,EUR,
FactSales,SalesChannel,Text/Date,Retail,
FactSales,Quantity,Whole Number,10,
FactSales,UnitPrice,Decimal Number,541.59,
FactSales,UnitCost,Decimal Number,301.39,
FactSales,DiscountPct,Decimal Number,0.05,
FactSales,TaxRate,Decimal Number,0.08,
FactSales,FreightAmount,Whole Number,0,
FactSales,SalesAmount,Decimal Number,5145.11,
FactSales,CostAmount,Decimal Number,3013.9,
FactSales,TaxAmount,Decimal Number,411.61,
FactSales,GrossAmount,Decimal Number,5556.72,
FactSales,HighCardinalityTrackingCode,Text/Date,TRK-00000001-1958,
FactReturns,ReturnID,Whole Number,1,
FactReturns,OrderLineID,Whole Number,36806,
FactReturns,ReturnDateKey,Whole Number,20250515,
FactReturns,CustomerKey,Whole Number,1234,
FactReturns,ProductKey,Whole Number,8,
FactReturns,StoreKey,Whole Number,8,
FactReturns,ReturnedQuantity,Whole Number,1,
FactReturns,ReturnAmount,Decimal Number,1955.75,
FactReturns,ReturnReason,Text/Date,Late delivery,
FactReturns,IsResellable,Boolean,True,
FactInventorySnapshot,InventorySnapshotID,Whole Number,1,
FactInventorySnapshot,DateKey,Whole Number,20220131,
FactInventorySnapshot,StoreKey,Whole Number,1,
FactInventorySnapshot,ProductKey,Whole Number,1,
FactInventorySnapshot,OnHandQuantity,Whole Number,0,
FactInventorySnapshot,SafetyStockQuantity,Whole Number,5,
FactInventorySnapshot,InventoryValue,Decimal Number,0.0,
FactBudget,BudgetID,Whole Number,1,
FactBudget,MonthStartDateKey,Whole Number,20220101,
FactBudget,StoreKey,Whole Number,1,
FactBudget,ProductCategoryKey,Whole Number,1,
FactBudget,BudgetSalesAmount,Decimal Number,17912.6,
FactBudget,BudgetGrossMarginAmount,Decimal Number,4627.4,
FactBudget,BudgetUnits,Whole Number,670,
DimAccount,AccountKey,Whole Number,1000,
DimAccount,AccountName,Text/Date,Assets,
DimAccount,ParentAccountKey,Text/Date,,
DimAccount,AccountLevel,Whole Number,1,
DimAccount,UnaryOperator,Text/Date,+,
FactFinanceLedger,LedgerID,Whole Number,1,
FactFinanceLedger,PostingDateKey,Whole Number,20250211,
FactFinanceLedger,AccountKey,Whole Number,4000,
FactFinanceLedger,StoreKey,Whole Number,9,
FactFinanceLedger,CurrencyCode,Text/Date,PLN,
FactFinanceLedger,Amount,Decimal Number,5938.89,
FactFinanceLedger,Scenario,Text/Date,Actual,
FactFinanceLedger,DocumentNumberHighCardinality,Text/Date,DOC-2025-0000001,
DimInterest,InterestKey,Whole Number,1,
DimInterest,InterestName,Text/Date,Commuting,
BridgeCustomerInterest,CustomerKey,Whole Number,1,
BridgeCustomerInterest,InterestKey,Whole Number,1,
BridgeProductInterest,ProductKey,Whole Number,1,
BridgeProductInterest,InterestKey,Whole Number,8,
FactCustomerSatisfaction,SurveyID,Whole Number,1,
FactCustomerSatisfaction,OrderLineID,Whole Number,2389,
FactCustomerSatisfaction,SurveyDateKey,Whole Number,20250314,
FactCustomerSatisfaction,CustomerKey,Whole Number,858,
FactCustomerSatisfaction,StoreKey,Whole Number,6,
FactCustomerSatisfaction,SatisfactionScore,Whole Number,6,
FactCustomerSatisfaction,NPSGroup,Text/Date,Detractor,
FactCustomerSatisfaction,CommentCategory,Text/Date,Delivery,
FactWebSession,SessionID,Text/Date,WEB-00000001,
FactWebSession,DateKey,Whole Number,20250904,
FactWebSession,CustomerKey,Whole Number,397,
FactWebSession,MarketingChannel,Text/Date,Email,
FactWebSession,DeviceType,Text/Date,Desktop,
FactWebSession,PageViews,Whole Number,7,
FactWebSession,DurationSeconds,Whole Number,288,
FactWebSession,ConvertedOrderNumber,Text/Date,SO-2023-944355,
FactWebSession,CampaignCode,Text/Date,NONE,
DimSegmentBands,SegmentBandKey,Whole Number,1,
DimSegmentBands,SegmentBandName,Text/Date,Low value,
DimSegmentBands,MinSalesAmount,Whole Number,0,
DimSegmentBands,MaxSalesAmount,Decimal Number,499.99,
DimSegmentBands,SortOrder,Whole Number,1,
WhatIfDiscount,DiscountPct,Decimal Number,0.0,
WhatIfDiscount,DiscountLabel,Text/Date,0%,
WhatIfTopN,TopN,Whole Number,3,
WhatIfTopN,TopNLabel,Text/Date,Top 3,
CurrencySelector,DisplayCurrencyCode,Text/Date,PLN,
CurrencySelector,DisplayCurrencyName,Text/Date,Polish Zloty,
MetricSelector,MetricKey,Whole Number,1,
MetricSelector,MetricName,Text/Date,Sales Amount,
MetricSelector,MeasureName,Text/Date,[Sales Amount],
