AccountKey,AccountName,ParentAccountKey,AccountLevel,UnaryOperator
1000,Assets,,1,+
1100,Cash,1000,2,+
1200,Inventory,1000,2,+
1300,Receivables,1000,2,+
2000,Liabilities,,1,+
2100,Payables,2000,2,+
2200,Loans,2000,2,+
3000,Equity,,1,+
3100,Retained Earnings,3000,2,+
4000,Revenue,,1,+
4100,Product Sales,4000,2,+
4200,Service Revenue,4000,2,+
4300,Returns Contra Revenue,4000,2,-
5000,Expenses,,1,+
5100,COGS,5000,2,+
5200,Payroll,5000,2,+
5300,Marketing Expense,5000,2,+
5400,Freight Expense,5000,2,+
