BudgetID,MonthStartDateKey,StoreKey,ProductCategoryKey,BudgetSalesAmount,BudgetGrossMarginAmount,BudgetUnits
1,20220101,1,1,17912.6,4627.4,670
2,20220101,1,2,64068.63,28344.71,593
3,20220101,1,3,17510.13,4622.24,540
4,20220101,1,4,14624.49,4361.41,891
5,20220101,1,5,40976.98,18874.79,306
6,20220101,1,6,38202.94,13937.46,614
7,20220101,2,1,61065.93,26894.31,282
8,20220101,2,2,22033.59,9721.76,850
9,20220101,2,3,81300.01,38167.52,1103
10,20220101,2,4,41344.21,12455.8,880
11,20220101,2,5,69180.03,26596.27,1193
12,20220101,2,6,46362.85,13713.22,1170
13,20220101,3,1,19180.06,6925.27,1072
14,20220101,3,2,52210.26,24533.83,86
15,20220101,3,3,65599.24,23444.89,233
16,20220101,3,4,41366.85,19250.7,250
17,20220101,3,5,51919.27,20989.24,1033
18,20220101,3,6,70249.37,32242.42,877
19,20220101,4,1,10610.1,3296.2,849
20,20220101,4,2,14299.28,6002.81,776
21,20220101,4,3,17608.93,6660.35,1014
22,20220101,4,4,56178.02,19716.13,462
23,20220101,4,5,19008.5,6844.72,800
24,20220101,4,6,51306.44,16939.06,666
25,20220101,5,1,83366.94,23691.02,705
26,20220101,5,2,67718.38,19311.81,765
27,20220101,5,3,57580.5,20537.46,705
28,20220101,5,4,12229.09,4255.31,795
29,20220101,5,5,19159.82,7209.6,382
30,20220101,5,6,56335.58,19992.46,1099
31,20220101,6,1,15867.93,3910.89,1042
32,20220101,6,2,42923.22,15575.98,868
33,20220101,6,3,23631.98,5391.28,716
34,20220101,6,4,29794.88,9082.88,840
35,20220101,6,5,21147.13,6986.52,146
36,20220101,6,6,31876.58,12191.22,212
37,20220101,7,1,27782.91,8025.2,822
38,20220101,7,2,28768.17,10668.2,191
39,20220101,7,3,44928.6,16359.64,397
40,20220101,7,4,63494.29,19190.57,450
41,20220101,7,5,55409.16,16441.83,513
42,20220101,7,6,11660.22,3233.94,340
43,20220101,8,1,11905.37,4851.76,1064
44,20220101,8,2,41191.1,11125.66,537
45,20220101,8,3,27423.8,8760.17,726
46,20220101,8,4,61341.78,24050.68,509
47,20220101,8,5,49820.06,14034.29,631
48,20220101,8,6,15467.32,6030.0,103
49,20220101,9,1,61396.3,24173.89,1073
50,20220101,9,2,62195.1,14129.08,595
51,20220101,9,3,32558.49,7163.49,872
52,20220101,9,4,11385.47,2891.31,883
53,20220101,9,5,32030.39,13423.14,600
54,20220101,9,6,10111.24,2447.85,901
55,20220101,10,1,75077.26,29485.42,684
56,20220101,10,2,27220.44,8791.64,829
57,20220101,10,3,13112.4,4163.36,617
58,20220101,10,4,20759.17,9783.9,734
59,20220101,10,5,73110.95,17460.34,169
60,20220101,10,6,64734.1,22143.32,388
61,20220101,11,1,40549.29,14986.98,983
62,20220101,11,2,48377.86,10716.53,962
63,20220101,11,3,33855.62,11476.24,1079
64,20220101,11,4,47832.27,19415.89,920
65,20220101,11,5,30993.12,11509.09,1124
66,20220101,11,6,26833.21,6077.5,315
67,20220101,12,1,79720.76,20986.22,331
68,20220101,12,2,77454.61,31611.36,793
69,20220101,12,3,53099.34,13132.83,1068
70,20220101,12,4,66341.57,21766.32,932
71,20220101,12,5,17746.2,4172.64,484
72,20220101,12,6,65578.16,15121.21,1183
73,20220201,1,1,17279.34,4160.67,403
74,20220201,1,2,55660.82,14658.39,1175
75,20220201,1,3,59302.51,16262.61,747
76,20220201,1,4,53437.54,14229.04,1108
77,20220201,1,5,29371.5,10820.05,776
78,20220201,1,6,49385.1,11612.61,385
79,20220201,2,1,52676.65,15547.59,1101
