SurveyID,OrderLineID,SurveyDateKey,CustomerKey,StoreKey,SatisfactionScore,NPSGroup,CommentCategory
1,2,20250713,848,5,9,Promoter,Store experience
2,3,20250726,848,5,7,Passive,Delivery
3,11,20230209,43,3,10,Promoter,Store experience
4,15,20240914,1664,3,6,Detractor,Store experience
5,16,20240914,1664,3,6,Detractor,Website
6,18,20240916,1664,3,5,Detractor,Delivery
7,26,20250929,1726,10,8,Passive,Delivery
8,28,20250922,1726,10,9,Promoter,Product quality
9,29,20250930,1726,10,7,Passive,Delivery
10,30,20250129,1482,6,8,Passive,Delivery
11,38,20231128,592,8,8,Passive,Store experience
12,49,20240711,1139,6,8,Passive,Product quality
13,63,20240315,43,12,7,Passive,Price
14,103,20230502,1933,10,10,Promoter,Product quality
15,141,20241207,1981,7,7,Passive,Price
16,143,20251014,1237,3,8,Passive,Price
17,144,20251014,1237,3,9,Promoter,Support
18,146,20230919,118,5,8,Passive,Store experience
19,147,20230924,118,5,8,Passive,Support
20,148,20241005,551,8,4,Detractor,Delivery
21,168,20240328,1009,1,5,Detractor,Delivery
22,172,20220610,376,6,5,Detractor,Website
23,191,20241111,910,5,4,Detractor,Product quality
24,196,20250707,1399,12,6,Detractor,Price
25,199,20230302,1588,10,7,Passive,Website
26,212,20230104,757,5,7,Passive,Website
27,250,20230206,1454,7,9,Promoter,Support
28,254,20250729,1462,10,10,Promoter,Store experience
29,265,20240530,1640,11,7,Passive,Price
30,266,20240610,1640,11,7,Passive,Website
31,270,20240228,1862,3,6,Detractor,Price
32,284,20240609,1563,3,6,Detractor,Delivery
33,290,20250426,915,10,8,Passive,Delivery
34,297,20230627,914,1,6,Detractor,Website
35,307,20240914,829,10,4,Detractor,Product quality
36,317,20250312,1896,11,7,Passive,Delivery
37,318,20221117,173,6,8,Passive,Price
38,329,20230712,505,11,8,Passive,Support
39,351,20240728,580,8,5,Detractor,Support
40,354,20240803,580,8,5,Detractor,Delivery
41,355,20230206,1613,12,10,Promoter,Product quality
42,356,20231130,346,4,7,Passive,Support
43,358,20250702,1078,4,9,Promoter,Product quality
44,360,20250710,1078,4,7,Passive,Delivery
45,361,20250707,1078,4,8,Passive,Delivery
46,379,20250531,910,1,4,Detractor,Product quality
47,381,20250118,1157,12,10,Promoter,Product quality
48,434,20250827,1616,4,8,Passive,Delivery
49,443,20241027,1073,6,3,Detractor,Product quality
50,457,20250802,349,10,8,Passive,Delivery
51,461,20240529,628,11,8,Passive,Support
52,496,20230118,968,6,7,Passive,Website
53,531,20221102,172,6,8,Passive,Product quality
54,542,20250331,1778,4,8,Passive,Product quality
55,543,20250328,1778,4,7,Passive,Website
56,556,20230804,1134,1,7,Passive,Delivery
57,566,20241102,991,3,8,Passive,Store experience
58,576,20240907,1873,8,8,Passive,Store experience
59,581,20221127,1887,8,5,Detractor,Delivery
60,584,20231204,989,1,5,Detractor,Delivery
61,595,20230514,1973,7,7,Passive,Support
62,603,20251007,1602,9,7,Passive,Website
63,622,20240112,1237,7,6,Detractor,Support
64,623,20231230,1237,7,8,Passive,Website
65,630,20230506,88,12,8,Passive,Website
66,632,20251005,361,11,5,Detractor,Product quality
67,638,20251214,1995,6,5,Detractor,Delivery
68,639,20240911,1099,11,10,Promoter,Store experience
69,644,20250130,779,8,8,Passive,Product quality
70,645,20221123,861,5,9,Promoter,Store experience
71,650,20230302,985,11,8,Passive,Product quality
72,657,20240211,1509,1,5,Detractor,Price
73,663,20240405,1371,4,6,Detractor,Website
74,674,20231222,1393,1,7,Passive,Price
75,676,20240128,1470,12,7,Passive,Website
76,678,20240122,1470,12,6,Detractor,Product quality
77,691,20240628,868,9,5,Detractor,Delivery
78,709,20240824,1303,5,3,Detractor,Website
79,710,20220513,1874,6,9,Promoter,Website
80,715,20240524,1986,4,6,Detractor,Delivery
81,733,20230919,1424,6,10,Promoter,Product quality
82,734,20230915,1424,6,6,Detractor,Website
83,744,20220901,1070,1,8,Passive,Store experience
84,748,20251129,1183,6,6,Detractor,Website
85,755,20250106,1580,11,6,Detractor,Price
86,759,20250426,157,4,6,Detractor,Delivery
87,760,20250429,157,4,7,Passive,Price
88,761,20250424,157,4,7,Passive,Website
89,809,20250529,290,11,9,Promoter,Store experience
90,818,20230224,1081,11,9,Promoter,Product quality
91,821,20250611,1430,6,5,Detractor,Support
92,824,20230613,307,9,9,Promoter,Delivery
93,832,20251011,322,2,8,Passive,Delivery
94,833,20251009,322,2,9,Promoter,Store experience
95,837,20250702,1652,1,7,Passive,Support
96,839,20241216,466,6,7,Passive,Support
97,845,20250926,552,8,7,Passive,Delivery
98,848,20241005,1490,1,7,Passive,Website
99,851,20241011,1490,1,6,Detractor,Product quality
100,852,20250310,586,7,8,Passive,Support
101,859,20250408,1466,5,9,Promoter,Store experience
102,863,20231023,942,7,5,Detractor,Delivery
103,865,20230422,1535,1,8,Passive,Store experience
104,894,20251001,302,4,7,Passive,Delivery
105,897,20251214,613,6,7,Passive,Delivery
106,917,20240308,1889,1,5,Detractor,Delivery
107,919,20240224,1889,1,6,Detractor,Support
108,921,20240926,972,4,5,Detractor,Price
109,928,20251129,1793,5,7,Passive,Delivery
110,941,20250531,1330,1,7,Passive,Delivery
111,944,20250523,1330,1,7,Passive,Support
112,948,20240501,1491,12,5,Detractor,Delivery
113,957,20230930,405,11,7,Passive,Delivery
114,976,20240406,4,7,4,Detractor,Product quality
115,1002,20251212,755,7,7,Passive,Delivery
116,1012,20230210,396,6,6,Detractor,Delivery
117,1032,20250401,1648,3,8,Passive,Support
118,1043,20230207,866,2,8,Passive,Store experience
119,1053,20250212,404,8,7,Passive,Delivery
120,1058,20240126,955,1,6,Detractor,Price
121,1063,20250805,1651,11,10,Promoter,Store experience
122,1073,20250701,519,6,6,Detractor,Website
123,1074,20250629,519,6,6,Detractor,Delivery
124,1093,20250318,1888,12,6,Detractor,Delivery
125,1096,20250314,1888,12,7,Passive,Product quality
126,1103,20240415,169,11,8,Passive,Delivery
127,1106,20231123,1684,2,8,Passive,Website
128,1108,20250930,1678,11,8,Passive,Store experience
129,1109,20250923,1678,11,7,Passive,Website
130,1123,20250720,269,11,9,Promoter,Website
131,1125,20240921,1831,3,7,Passive,Delivery
132,1129,20251117,709,1,8,Passive,Delivery
133,1138,20240804,452,3,5,Detractor,Store experience
134,1153,20220911,1638,1,7,Passive,Website
135,1161,20221003,197,6,7,Passive,Website
136,1169,20240723,184,3,5,Detractor,Website
137,1178,20250109,1811,11,7,Passive,Support
138,1180,20241226,1811,11,7,Passive,Support
139,1202,20240117,1390,10,8,Passive,Delivery
140,1207,20251013,1604,8,4,Detractor,Support
141,1216,20240528,1561,8,6,Detractor,Delivery
142,1225,20251004,1047,3,8,Passive,Product quality
143,1246,20250425,413,10,7,Passive,Delivery
144,1249,20230730,1704,6,8,Passive,Product quality
145,1262,20240426,849,8,6,Detractor,Product quality
146,1272,20250207,105,4,8,Passive,Product quality
147,1274,20251030,738,8,10,Promoter,Store experience
148,1279,20231005,491,5,7,Passive,Website
149,1280,20250127,214,11,10,Promoter,Website
150,1291,20240210,1312,5,8,Passive,Product quality
151,1302,20230603,999,7,7,Passive,Website
152,1303,20230528,999,7,4,Detractor,Delivery
153,1310,20240123,1868,11,7,Passive,Website
154,1316,20241128,5,11,7,Passive,Support
155,1337,20250423,548,10,8,Passive,Store experience
156,1339,20250507,548,10,9,Promoter,Delivery
157,1353,20241124,389,9,7,Passive,Website
158,1370,20240904,361,9,7,Passive,Delivery
159,1373,20240509,1115,7,7,Passive,Delivery
160,1379,20231227,321,7,8,Passive,Product quality
161,1399,20230907,303,8,9,Promoter,Delivery
162,1400,20241004,1037,11,3,Detractor,Store experience
163,1401,20240919,1037,11,5,Detractor,Website
164,1428,20241111,899,3,7,Passive,Delivery
165,1437,20240311,857,6,4,Detractor,Support
166,1455,20240420,1889,1,9,Promoter,Product quality
167,1463,20240804,1097,7,6,Detractor,Support
168,1473,20240825,1013,4,6,Detractor,Delivery
169,1484,20250408,280,12,7,Passive,Price
170,1495,20250710,715,12,9,Promoter,Website
171,1501,20241008,173,11,6,Detractor,Delivery
172,1509,20240502,628,8,7,Passive,Delivery
173,1512,20241101,738,6,9,Promoter,Support
174,1517,20240816,1578,10,6,Detractor,Website
175,1518,20231218,1044,3,8,Passive,Store experience
176,1534,20250604,1792,1,7,Passive,Website
177,1538,20250914,1726,6,9,Promoter,Support
178,1542,20250822,572,12,7,Passive,Price
179,1543,20230911,1154,11,9,Promoter,Product quality
180,1546,20240708,1887,8,4,Detractor,Product quality
181,1547,20240716,1887,8,6,Detractor,Product quality
182,1567,20241227,766,2,6,Detractor,Delivery
183,1575,20240606,639,12,6,Detractor,Delivery
184,1578,20240704,1873,6,5,Detractor,Website
185,1586,20231013,66,9,7,Passive,Delivery
186,1596,20251231,1860,5,5,Detractor,Delivery
187,1610,20240613,1060,8,6,Detractor,Price
188,1631,20231019,1163,10,8,Passive,Product quality
189,1635,20230706,1168,7,7,Passive,Store experience
190,1650,20250324,989,10,7,Passive,Website
191,1659,20230403,380,8,6,Detractor,Website
192,1662,20241031,53,4,9,Promoter,Store experience
193,1671,20221220,1968,4,8,Passive,Website
194,1691,20240204,246,1,6,Detractor,Store experience
195,1703,20221206,399,1,9,Promoter,Product quality
196,1708,20250716,1897,12,7,Passive,Price
197,1723,20230901,1748,2,9,Promoter,Support
198,1742,20240318,984,8,4,Detractor,Support
199,1751,20250713,1470,11,8,Passive,Website
200,1753,20250715,1470,11,7,Passive,Website
201,1759,20240811,319,6,5,Detractor,Website
202,1763,20250216,754,12,8,Passive,Store experience
203,1764,20250225,754,12,8,Passive,Delivery
204,1765,20250131,700,7,7,Passive,Delivery
205,1783,20240418,1844,2,4,Detractor,Product quality
206,1792,20230914,1438,2,8,Passive,Support
207,1793,20230925,1438,2,8,Passive,Price
208,1795,20220616,1894,3,8,Passive,Store experience
209,1815,20240130,815,6,8,Passive,Website
210,1816,20250702,1976,11,5,Detractor,Product quality
211,1823,20220208,1600,10,8,Passive,Price
212,1834,20240225,1413,4,7,Passive,Delivery
213,1838,20221215,608,5,7,Passive,Support
214,1844,20240215,316,9,7,Passive,Website
215,1845,20240211,316,9,8,Passive,Support
216,1846,20240217,316,9,8,Passive,Product quality
217,1849,20241006,1877,2,6,Detractor,Website
218,1853,20231113,1913,6,7,Passive,Product quality
219,1859,20230810,935,5,6,Detractor,Website
220,1860,20230810,935,5,8,Passive,Delivery
221,1877,20250220,53,10,7,Passive,Website
222,1878,20241223,687,12,5,Detractor,Website
223,1908,20251023,156,6,8,Passive,Product quality
224,1910,20231112,1874,5,5,Detractor,Store experience
225,1912,20221128,797,2,4,Detractor,Product quality
226,1913,20240103,523,2,7,Passive,Delivery
227,1923,20241117,821,4,7,Passive,Support
228,1933,20250519,240,4,6,Detractor,Delivery
229,1939,20230408,1981,1,8,Passive,Support
230,1949,20240811,1187,2,8,Passive,Delivery
231,1958,20241116,450,12,7,Passive,Store experience
232,1966,20230602,1861,10,5,Detractor,Delivery
233,1968,20230704,1168,12,6,Detractor,Delivery
234,1977,20240909,1224,8,5,Detractor,Support
235,1978,20240908,1224,8,6,Detractor,Support
236,1985,20251203,1505,10,9,Promoter,Product quality
237,1992,20240825,1289,3,7,Passive,Delivery
238,2025,20250729,1245,3,7,Passive,Support
239,2031,20241028,567,2,8,Passive,Support
240,2045,20240221,510,10,8,Passive,Support
241,2046,20240229,510,10,4,Detractor,Product quality
242,2064,20241213,1119,6,7,Passive,Product quality
243,2070,20240922,578,11,7,Passive,Delivery
244,2073,20250414,538,9,6,Detractor,Website
245,2081,20250404,1339,4,7,Passive,Delivery
246,2097,20240421,930,12,2,Detractor,Product quality
247,2113,20241028,388,5,7,Passive,Website
248,2116,20250809,1082,6,8,Passive,Store experience
249,2134,20241110,1873,7,6,Detractor,Support
250,2139,20240717,263,8,8,Passive,Support
251,2140,20240721,263,8,6,Detractor,Price
252,2143,20250723,1680,12,8,Passive,Support
253,2147,20240804,1288,4,7,Passive,Delivery
254,2152,20240814,684,10,6,Detractor,Product quality
255,2159,20231226,211,6,7,Passive,Support
256,2162,20240401,1776,3,5,Detractor,Delivery
257,2183,20250705,1827,10,7,Passive,Delivery
258,2188,20250201,81,12,8,Passive,Price
259,2203,20250117,858,5,6,Detractor,Delivery
260,2205,20240511,1717,6,5,Detractor,Delivery
261,2209,20230529,252,8,8,Passive,Support
262,2228,20240131,1970,4,5,Detractor,Support
263,2233,20230211,946,3,8,Passive,Store experience
264,2250,20250729,710,9,9,Promoter,Website
265,2252,20250424,781,10,10,Promoter,Product quality
266,2268,20240410,1079,12,7,Passive,Support
267,2272,20240406,1867,5,7,Passive,Product quality
268,2273,20240407,1867,5,7,Passive,Website
269,2274,20221111,866,9,7,Passive,Support
270,2275,20250728,1747,6,6,Detractor,Delivery
271,2296,20250819,490,8,8,Passive,Product quality
272,2305,20250628,721,2,5,Detractor,Website
273,2309,20240414,392,1,8,Passive,Store experience
274,2311,20250507,938,10,9,Promoter,Product quality
275,2322,20240306,1876,2,5,Detractor,Product quality
276,2328,20240227,1297,9,7,Passive,Product quality
277,2331,20240716,440,1,6,Detractor,Website
278,2335,20250313,1180,4,9,Promoter,Support
279,2337,20240721,1573,10,7,Passive,Product quality
280,2356,20250915,862,8,6,Detractor,Website
281,2375,20230107,1557,8,8,Passive,Delivery
282,2381,20240917,923,1,6,Detractor,Store experience
283,2382,20240910,923,1,5,Detractor,Website
284,2396,20251021,1404,9,8,Passive,Store experience
285,2404,20240329,266,2,6,Detractor,Support
286,2405,20240325,266,2,5,Detractor,Website
287,2407,20230530,1585,4,6,Detractor,Website
288,2416,20251022,546,5,9,Promoter,Store experience
289,2419,20250701,1381,1,7,Passive,Support
290,2423,20221128,1308,6,5,Detractor,Delivery
291,2426,20250630,157,9,8,Passive,Product quality
292,2439,20230628,849,8,7,Passive,Website
293,2440,20230221,1904,12,4,Detractor,Store experience
294,2471,20231223,1591,9,9,Promoter,Store experience
295,2495,20230806,856,9,3,Detractor,Product quality
296,2517,20241228,1050,2,5,Detractor,Delivery
297,2528,20251231,1407,8,8,Passive,Product quality
298,2533,20230609,1193,8,10,Promoter,Store experience
299,2544,20231220,745,9,8,Passive,Website
300,2550,20241129,1775,5,6,Detractor,Website
301,2560,20230827,722,4,8,Passive,Price
302,2578,20230502,165,7,8,Passive,Store experience
303,2579,20230501,165,7,8,Passive,Delivery
304,2582,20221203,672,12,8,Passive,Website
305,2586,20251231,1036,6,10,Promoter,Store experience
306,2588,20251231,1036,6,7,Passive,Support
307,2592,20250425,785,3,8,Passive,Store experience
308,2599,20231231,147,11,6,Detractor,Delivery
309,2600,20240103,147,11,8,Passive,Product quality
310,2604,20250301,794,6,6,Detractor,Website
311,2623,20240106,613,10,6,Detractor,Delivery
312,2625,20240102,613,10,10,Promoter,Product quality
313,2626,20231231,613,10,9,Promoter,Product quality
314,2637,20250417,943,4,6,Detractor,Delivery
315,2638,20221216,1695,9,5,Detractor,Delivery
316,2640,20221205,1695,9,7,Passive,Website
317,2642,20220621,1947,7,8,Passive,Delivery
318,2649,20251209,828,10,10,Promoter,Store experience
319,2666,20250523,1166,12,7,Passive,Delivery
320,2667,20250525,1166,12,6,Detractor,Delivery
321,2674,20221225,71,2,6,Detractor,Product quality
322,2685,20250815,1831,9,8,Passive,Delivery
323,2687,20250825,1831,9,7,Passive,Delivery
324,2727,20231104,876,4,6,Detractor,Website
325,2749,20241114,174,12,5,Detractor,Delivery
326,2779,20250321,1236,4,10,Promoter,Support
327,2782,20250328,1236,4,9,Promoter,Store experience
328,2785,20250209,16,2,6,Detractor,Product quality
