LedgerID,PostingDateKey,AccountKey,StoreKey,CurrencyCode,Amount,Scenario,DocumentNumberHighCardinality
1,20250211,4000,9,PLN,5938.89,Actual,DOC-2025-0000001
2,20231016,1100,11,USD,3209.34,Forecast,DOC-2023-0000002
3,20220726,5100,1,USD,-8692.05,Actual,DOC-2022-0000003
4,20230903,4300,2,EUR,-3829.45,Actual,DOC-2023-0000004
5,20241120,5200,3,EUR,-1897.33,Forecast,DOC-2024-0000005
6,20220517,5400,6,GBP,-8021.62,Actual,DOC-2022-0000006
7,20220104,4100,1,PLN,3293.29,Actual,DOC-2022-0000007
8,20220628,4100,5,PLN,2959.74,Actual,DOC-2022-0000008
9,20221110,1000,7,USD,4448.27,Actual,DOC-2022-0000009
10,20240304,4200,10,USD,6843.57,Actual,DOC-2024-0000010
11,20250512,2100,12,PLN,-1367.86,Actual,DOC-2025-0000011
12,20251221,4300,2,USD,-3704.22,Actual,DOC-2025-0000012
13,20220707,5300,1,PLN,-5530.32,Budget,DOC-2022-0000013
14,20220725,1300,7,PLN,7534.61,Actual,DOC-2022-0000014
15,20250705,5200,5,PLN,-8143.4,Actual,DOC-2025-0000015
16,20240930,2200,10,PLN,-2902.29,Actual,DOC-2024-0000016
17,20240925,1200,2,USD,2766.28,Forecast,DOC-2024-0000017
18,20250913,1100,7,GBP,7460.87,Actual,DOC-2025-0000018
19,20220802,1300,10,EUR,5162.4,Actual,DOC-2022-0000019
20,20240125,4100,12,USD,7283.34,Actual,DOC-2024-0000020
21,20220109,4100,4,EUR,670.11,Actual,DOC-2022-0000021
22,20251026,5100,2,PLN,-8917.82,Actual,DOC-2025-0000022
23,20230720,1000,11,PLN,3273.36,Actual,DOC-2023-0000023
24,20240721,2000,6,PLN,7248.2,Actual,DOC-2024-0000024
25,20250328,5400,9,PLN,-6681.03,Actual,DOC-2025-0000025
26,20250725,4100,8,EUR,4481.08,Actual,DOC-2025-0000026
27,20230323,1100,3,PLN,8454.27,Actual,DOC-2023-0000027
28,20220613,2200,10,USD,-7983.19,Actual,DOC-2022-0000028
29,20230115,1200,12,PLN,5263.82,Actual,DOC-2023-0000029
30,20230818,5100,11,PLN,-4218.38,Budget,DOC-2023-0000030
31,20240831,1200,12,GBP,2158.47,Actual,DOC-2024-0000031
32,20240513,5400,9,PLN,-8982.46,Actual,DOC-2024-0000032
33,20250728,2200,9,EUR,-6741.81,Actual,DOC-2025-0000033
34,20221005,5100,9,PLN,-7204.94,Forecast,DOC-2022-0000034
35,20250904,4000,6,USD,6357.34,Actual,DOC-2025-0000035
36,20241104,2100,1,PLN,-2431.21,Actual,DOC-2024-0000036
37,20240415,1000,10,USD,2745.96,Actual,DOC-2024-0000037
38,20240126,2100,6,GBP,-2697.84,Actual,DOC-2024-0000038
39,20240328,5100,5,USD,-1118.3,Actual,DOC-2024-0000039
40,20220831,2100,6,EUR,-1503.41,Actual,DOC-2022-0000040
41,20230411,5300,2,GBP,-4332.77,Actual,DOC-2023-0000041
42,20220818,1300,2,PLN,101.07,Actual,DOC-2022-0000042
43,20251022,4100,5,EUR,8420.81,Actual,DOC-2025-0000043
44,20240921,2000,4,EUR,8454.89,Actual,DOC-2024-0000044
45,20241228,1200,8,PLN,3093.53,Actual,DOC-2024-0000045
46,20250224,5200,5,GBP,-99.04,Actual,DOC-2025-0000046
47,20220104,4300,2,EUR,-8378.62,Budget,DOC-2022-0000047
48,20241102,5000,7,EUR,7327.06,Actual,DOC-2024-0000048
49,20251105,5200,6,USD,-8111.85,Actual,DOC-2025-0000049
