InventorySnapshotID,DateKey,StoreKey,ProductKey,OnHandQuantity,SafetyStockQuantity,InventoryValue
1,20220131,1,1,0,5,0.0
2,20220131,1,2,4,5,4346.64
3,20220131,1,3,8,5,17596.96
4,20220131,1,4,3,5,6876.81
5,20220131,1,5,5,5,13631.8
6,20220131,1,6,11,5,10288.08
7,20220131,1,7,10,5,18215.1
8,20220131,1,8,3,5,4510.86
9,20220131,1,9,5,5,2687.75
10,20220131,1,10,17,5,16175.5
11,20220131,1,11,6,5,12918.06
12,20220131,1,12,13,5,40005.68
13,20220131,1,13,22,30,165.88
14,20220131,1,14,31,30,2277.26
15,20220131,1,15,143,30,2318.03
16,20220131,1,16,142,30,9262.66
17,20220131,1,17,145,30,5756.5
18,20220131,1,18,134,30,6198.84
19,20220131,1,19,226,30,9867.16
20,20220131,1,20,116,30,13192.68
21,20220131,1,21,184,30,12506.48
22,20220131,1,22,142,30,11607.08
23,20220131,1,23,226,30,7317.88
24,20220131,1,24,120,30,2584.8
25,20220131,1,25,28,30,2565.36
26,20220131,1,26,85,30,954.55
27,20220131,1,27,180,30,7686.0
28,20220131,1,28,176,30,5148.0
29,20220131,1,29,188,30,16575.96
30,20220131,1,30,81,30,2720.79
31,20220131,1,31,86,30,4447.06
32,20220131,1,32,88,30,1414.16
33,20220131,1,33,195,30,8347.95
34,20220131,1,34,64,30,2965.76
35,20220131,1,35,81,12,5250.42
36,20220131,1,36,138,12,14931.6
37,20220131,1,37,30,12,2400.3
38,20220131,1,38,28,12,5328.96
39,20220131,1,39,101,12,9953.55
40,20220131,1,40,136,12,30833.92
41,20220131,1,41,35,12,8207.85
42,20220131,1,42,180,12,11608.2
43,20220131,1,43,33,12,3806.22
44,20220131,1,44,151,12,26080.72
45,20220131,1,45,149,12,12675.43
46,20220131,1,46,80,12,11526.4
47,20220131,1,47,95,12,5857.7
48,20220131,1,48,14,12,1346.38
49,20220131,1,49,124,12,4641.32
50,20220131,1,50,100,12,10252.0
51,20220131,1,51,103,12,15008.13
52,20220131,1,52,90,12,3333.6
53,20220131,1,53,156,12,20751.12
54,20220131,1,54,10,12,713.0
55,20220131,1,55,140,12,32999.4
56,20220131,1,56,141,12,17729.34
57,20220131,1,57,65,12,15915.25
58,20220131,1,58,15,12,4869.75
59,20220131,1,59,46,12,2111.4
60,20220131,1,60,106,12,31023.02
61,20220131,1,61,58,12,11106.42
62,20220131,1,62,10,12,1304.7
63,20220131,1,63,22,12,2788.06
64,20220131,1,64,11,12,970.42
65,20220131,1,65,12,12,337.32
66,20220131,1,66,94,12,6178.62
67,20220131,1,67,105,12,15265.95
68,20220131,1,68,25,12,2118.0
69,20220131,1,69,62,12,11331.12
70,20220131,1,70,72,12,7747.92
71,20220131,1,71,31,12,8713.17
72,20220131,1,72,21,12,4104.87
73,20220131,1,73,47,12,10246.94
74,20220131,1,74,60,12,8478.6
75,20220131,1,75,16,12,2952.32
76,20220131,1,76,18,12,2007.72
77,20220131,1,77,105,12,5006.4
78,20220131,1,78,74,12,8871.12
79,20220131,1,79,82,12,25843.12
80,20220131,1,80,115,12,13605.65
81,20220131,1,81,0,12,0.0
82,20220131,1,82,0,12,0.0
83,20220131,1,83,0,12,0.0
84,20220131,1,84,0,12,0.0
85,20220131,1,85,0,12,0.0
86,20220131,1,86,0,12,0.0
87,20220131,1,87,0,12,0.0
88,20220131,1,88,0,12,0.0
89,20220131,1,89,0,12,0.0
90,20220131,1,90,0,12,0.0
91,20220131,1,91,0,12,0.0
92,20220131,1,92,0,12,0.0
93,20220131,1,93,0,12,0.0
94,20220131,1,94,29,12,8733.93
95,20220131,1,95,7,12,1679.93
96,20220131,1,96,16,12,8187.2
97,20220131,1,97,33,12,18475.71
98,20220131,1,98,26,12,2563.34
99,20220131,1,99,55,12,27161.75
100,20220131,1,100,3,12,2121.3
101,20220131,1,101,0,12,0.0
102,20220131,1,102,9,12,1051.02
103,20220131,1,103,20,12,5842.2
104,20220131,1,104,10,12,3431.5
105,20220131,1,105,24,12,8010.72
106,20220131,1,106,76,12,46024.84
107,20220131,1,107,17,12,7464.7
108,20220131,1,108,17,12,5848.0
109,20220131,2,1,3,5,1716.42
110,20220131,2,2,9,5,9779.94
111,20220131,2,3,5,5,10998.1
112,20220131,2,4,5,5,11461.35
113,20220131,2,5,11,5,29989.96
114,20220131,2,6,4,5,3741.12
115,20220131,2,7,5,5,9107.55
116,20220131,2,8,5,5,7518.1
117,20220131,2,9,1,5,537.55
118,20220131,2,10,16,5,15224.0
119,20220131,2,11,6,5,12918.06
120,20220131,2,12,4,5,12309.44
121,20220131,2,13,25,30,188.5
122,20220131,2,14,136,30,9990.56
123,20220131,2,15,169,30,2739.49
124,20220131,2,16,169,30,11023.87
125,20220131,2,17,144,30,5716.8
126,20220131,2,18,113,30,5227.38
127,20220131,2,19,46,30,2008.36
128,20220131,2,20,51,30,5800.23
129,20220131,2,21,129,30,8768.13
130,20220131,2,22,174,30,14222.76
131,20220131,2,23,165,30,5342.7
132,20220131,2,24,170,30,3661.8
133,20220131,2,25,184,30,16858.08
134,20220131,2,26,176,30,1976.48
135,20220131,2,27,79,30,3373.3
136,20220131,2,28,146,30,4270.5
137,20220131,2,29,186,30,16399.62
138,20220131,2,30,202,30,6785.18
139,20220131,2,31,204,30,10548.84
140,20220131,2,32,99,30,1590.93
141,20220131,2,33,162,30,6935.22
142,20220131,2,34,72,30,3336.48
143,20220131,2,35,73,12,4731.86
144,20220131,2,36,174,12,18826.8
145,20220131,2,37,58,12,4640.58
146,20220131,2,38,177,12,33686.64
147,20220131,2,39,50,12,4927.5
148,20220131,2,40,162,12,36728.64
149,20220131,2,41,87,12,20402.37
150,20220131,2,42,149,12,9609.01
151,20220131,2,43,42,12,4844.28
152,20220131,2,44,116,12,20035.52
153,20220131,2,45,14,12,1190.98
154,20220131,2,46,26,12,3746.08
155,20220131,2,47,85,12,5241.1
156,20220131,2,48,23,12,2211.91
157,20220131,2,49,72,12,2694.96
158,20220131,2,50,132,12,13532.64
159,20220131,2,51,76,12,11073.96
160,20220131,2,52,41,12,1518.64
161,20220131,2,53,176,12,23411.52
162,20220131,2,54,134,12,9554.2
163,20220131,2,55,170,12,40070.7
164,20220131,2,56,103,12,12951.22
165,20220131,2,57,81,12,19832.85
166,20220131,2,58,47,12,15258.55
167,20220131,2,59,100,12,4590.0
168,20220131,2,60,90,12,26340.3
169,20220131,2,61,104,12,19914.96
170,20220131,2,62,61,12,7958.67
171,20220131,2,63,11,12,1394.03
172,20220131,2,64,24,12,2117.28
173,20220131,2,65,40,12,1124.4
174,20220131,2,66,115,12,7558.95
175,20220131,2,67,67,12,9741.13
176,20220131,2,68,9,12,762.48
177,20220131,2,69,93,12,16996.68
178,20220131,2,70,102,12,10976.22
179,20220131,2,71,115,12,32323.05
180,20220131,2,72,83,12,16224.01
181,20220131,2,73,83,12,18095.66
182,20220131,2,74,80,12,11304.8
183,20220131,2,75,74,12,13654.48
184,20220131,2,76,72,12,8030.88
185,20220131,2,77,69,12,3289.92
186,20220131,2,78,46,12,5514.48
187,20220131,2,79,54,12,17018.64
188,20220131,2,80,15,12,1774.65
189,20220131,2,81,0,12,0.0
190,20220131,2,82,0,12,0.0
191,20220131,2,83,0,12,0.0
192,20220131,2,84,0,12,0.0
193,20220131,2,85,0,12,0.0
194,20220131,2,86,0,12,0.0
