ReturnID,OrderLineID,ReturnDateKey,CustomerKey,ProductKey,StoreKey,ReturnedQuantity,ReturnAmount,ReturnReason,IsResellable
1,36806,20250515,1234,8,8,1,1955.75,Late delivery,True
2,39058,20230213,1219,89,7,1,57.42,Other,False
3,6913,20230518,1352,87,11,1,160.27,Wrong size,True
4,9258,20250515,206,84,12,1,193.22,Damaged,True
5,24061,20221115,832,6,12,2,2912.02,Damaged,True
6,20188,20240625,1825,29,7,3,331.99,Late delivery,True
7,42002,20230823,1531,11,6,1,3761.37,Warranty,True
8,46113,20221118,477,86,11,1,256.54,Other,False
9,1522,20230217,220,21,9,1,84.09,Warranty,False
10,2980,20250222,1852,80,12,1,177.95,Late delivery,True
11,6987,20220913,576,28,12,2,87.58,Changed mind,True
12,49506,20231214,743,48,10,1,185.27,Warranty,False
13,12536,20241104,1492,48,2,1,190.34,Damaged,False
14,59858,20230909,1582,55,8,1,342.59,Warranty,True
15,42844,20230802,1954,63,7,2,465.4,Changed mind,True
16,47638,20250806,1644,27,10,2,146.55,Warranty,True
17,46362,20231108,603,1,8,1,1143.7,Changed mind,False
18,6083,20231230,1865,35,12,1,75.72,Damaged,True
19,9855,20251231,1354,28,4,1,40.98,Other,False
20,16725,20240706,234,91,12,1,536.67,Warranty,True
21,20906,20241213,306,8,8,1,1675.02,Warranty,True
22,20352,20250601,1353,89,10,1,58.91,Damaged,False
23,30082,20221020,1167,43,2,3,377.81,Damaged,False
24,7577,20241103,1791,83,4,1,525.16,Warranty,True
25,55167,20231017,815,87,1,1,146.66,Damaged,True
26,45062,20230401,200,84,12,3,658.89,Late delivery,False
27,32566,20240812,1719,33,6,3,228.48,Warranty,True
28,24904,20250227,500,70,9,1,177.09,Changed mind,True
29,20548,20240528,340,91,8,1,531.57,Late delivery,False
30,16287,20240326,1205,68,11,1,139.85,Changed mind,False
31,45162,20241223,1809,9,4,1,973.0,Warranty,True
32,22240,20240904,517,4,7,1,3117.81,Changed mind,True
33,56073,20240123,507,86,7,1,294.77,Changed mind,True
34,34353,20230403,513,103,8,1,549.86,Damaged,False
35,5679,20250510,670,62,9,1,157.29,Other,True
36,46374,20250419,1538,94,8,2,858.73,Changed mind,True
37,36642,20230215,510,53,9,1,204.38,Warranty,True
38,52006,20251227,540,87,2,1,178.28,Late delivery,True
39,5484,20240903,1909,82,4,1,547.69,Other,False
40,36114,20250821,1346,4,4,1,2510.12,Other,True
