GeographyKey,CountryCode,Country,Region,StateProvince,City,CurrencyCode
1,PL,Poland,Central Europe,Mazowieckie,Warsaw,PLN
2,PL,Poland,Central Europe,Mazowieckie,Krakow,PLN
3,PL,Poland,Central Europe,Mazowieckie,Gdansk,PLN
4,PL,Poland,Central Europe,Mazowieckie,Wroclaw,PLN
5,PL,Poland,Central Europe,Mazowieckie,Poznan,PLN
6,PL,Poland,Central Europe,Mazowieckie,Lodz,PLN
7,DE,Germany,Western Europe,Berlin,Berlin,EUR
8,DE,Germany,Western Europe,Berlin,Munich,EUR
9,DE,Germany,Western Europe,Berlin,Hamburg,EUR
10,DE,Germany,Western Europe,Berlin,Cologne,EUR
11,DE,Germany,Western Europe,Berlin,Frankfurt,EUR
12,FR,France,Western Europe,Ile-de-France,Paris,EUR
13,FR,France,Western Europe,Ile-de-France,Lyon,EUR
14,FR,France,Western Europe,Ile-de-France,Marseille,EUR
15,FR,France,Western Europe,Ile-de-France,Toulouse,EUR
16,ES,Spain,Southern Europe,Community of Madrid,Madrid,EUR
17,ES,Spain,Southern Europe,Community of Madrid,Barcelona,EUR
18,ES,Spain,Southern Europe,Community of Madrid,Valencia,EUR
19,ES,Spain,Southern Europe,Community of Madrid,Seville,EUR
20,IT,Italy,Southern Europe,Lazio,Rome,EUR
21,IT,Italy,Southern Europe,Lazio,Milan,EUR
22,IT,Italy,Southern Europe,Lazio,Naples,EUR
23,IT,Italy,Southern Europe,Lazio,Turin,EUR
24,NL,Netherlands,Western Europe,North Holland,Amsterdam,EUR
25,NL,Netherlands,Western Europe,North Holland,Rotterdam,EUR
26,NL,Netherlands,Western Europe,North Holland,Utrecht,EUR
27,NL,Netherlands,Western Europe,North Holland,Eindhoven,EUR
28,SE,Sweden,Northern Europe,Stockholm,Stockholm,SEK
29,SE,Sweden,Northern Europe,Stockholm,Gothenburg,SEK
30,SE,Sweden,Northern Europe,Stockholm,Malmo,SEK
31,SE,Sweden,Northern Europe,Stockholm,Uppsala,SEK
32,CZ,Czechia,Central Europe,Prague,Prague,EUR
33,CZ,Czechia,Central Europe,Prague,Brno,EUR
34,CZ,Czechia,Central Europe,Prague,Ostrava,EUR
35,CZ,Czechia,Central Europe,Prague,Pilsen,EUR
