StoreKey,StoreName,StoreType,GeographyKey,OpenDate,FloorSizeSqM,IsOnline
1,Warsaw Store 01,Standard,1,2018-09-22,400,False
2,Paris Store 02,Flagship,12,2022-10-29,2110,False
3,Gdansk Store 03,Standard,3,2019-11-01,1384,False
4,Ostrava Store 04,Online Hub,34,2019-01-30,1325,False
5,Eindhoven Store 05,Online Hub,27,2019-11-21,2085,False
6,Hamburg Store 06,Outlet,9,2018-03-18,1151,False
7,Warsaw Store 07,Flagship,1,2019-09-11,1289,False
8,Stockholm Store 08,Online Hub,28,2020-02-21,412,False
9,Cologne Store 09,Outlet,10,2021-03-06,373,False
10,Krakow Store 10,Outlet,2,2022-02-18,1607,False
11,Berlin Store 11,Outlet,7,2022-05-14,620,False
12,Marseille Store 12,Standard,14,2019-11-14,1761,False
