SurveyID,OrderLineID,SurveyDateKey,CustomerKey,StoreKey,SatisfactionScore,NPSGroup,CommentCategory
1,2389,20250314,858,6,6,Detractor,Delivery
2,43626,20241223,1197,10,9,Promoter,Support
3,56420,20251231,1566,10,7,Passive,Website
4,20425,20250410,1572,12,8,Passive,Support
5,11737,20250226,516,5,5,Detractor,Store experience
6,55990,20250819,1819,6,8,Passive,Store experience
7,54134,20250425,1306,9,7,Passive,Product quality
8,58831,20241105,356,6,6,Detractor,Price
9,31092,20231201,1966,12,7,Passive,Website
10,58983,20230108,241,3,8,Passive,Support
11,5559,20230524,1563,9,7,Passive,Price
12,36251,20240330,99,11,8,Passive,Store experience
13,13063,20251123,1471,9,8,Passive,Store experience
14,2733,20231029,1717,6,4,Detractor,Product quality
15,56166,20251225,1517,9,9,Promoter,Support
16,48121,20230705,146,5,8,Passive,Support
17,22285,20250524,195,10,6,Detractor,Delivery
18,15315,20230209,310,12,8,Passive,Website
19,49210,20251231,1081,9,6,Detractor,Support
20,5414,20240525,85,9,6,Detractor,Price
21,47611,20250305,1551,8,8,Passive,Website
22,56750,20231112,1041,5,4,Detractor,Support
23,1945,20230926,1130,12,5,Detractor,Support
24,35659,20231209,421,3,7,Passive,Price
25,22519,20240428,1988,11,9,Promoter,Product quality
26,18231,20250729,1149,6,9,Promoter,Store experience
27,11833,20240916,1153,6,9,Promoter,Website
28,3354,20250315,19,10,10,Promoter,Price
29,19458,20250526,1187,11,5,Detractor,Website
30,2215,20240702,714,8,7,Passive,Website
31,8503,20230712,1570,6,7,Passive,Price
32,26513,20250902,914,11,8,Passive,Delivery
33,50478,20230801,59,10,5,Detractor,Price
34,22720,20250605,405,8,8,Passive,Website
35,55388,20250208,322,3,8,Passive,Support
36,23023,20231009,871,6,6,Detractor,Delivery
37,24090,20221025,696,5,8,Passive,Support
38,48935,20250303,1956,5,6,Detractor,Support
39,24325,20250111,1124,7,7,Passive,Website
40,3000,20251122,1630,8,4,Detractor,Support
41,58470,20240530,245,5,6,Detractor,Price
42,45280,20240923,330,7,6,Detractor,Store experience
43,43048,20250902,1510,6,8,Passive,Product quality
44,49140,20250210,928,6,8,Passive,Price
45,50178,20240115,1676,7,7,Passive,Product quality
46,59271,20250606,774,10,4,Detractor,Product quality
47,16722,20240821,502,2,5,Detractor,Website
48,27661,20250824,1139,1,10,Promoter,Store experience
49,48016,20230503,184,10,5,Detractor,Support
50,43993,20221122,814,7,4,Detractor,Price
51,10292,20241120,666,8,7,Passive,Product quality
52,56990,20240526,1619,8,6,Detractor,Product quality
53,6313,20240223,897,5,6,Detractor,Price
54,27239,20251015,299,10,6,Detractor,Product quality
55,44114,20250427,1522,1,5,Detractor,Website
56,15761,20231218,1159,11,9,Promoter,Store experience
57,34511,20240329,186,3,6,Detractor,Product quality
58,4424,20240618,1203,5,7,Passive,Product quality
59,10459,20240418,1571,4,10,Promoter,Delivery
60,18708,20250722,1501,6,7,Passive,Store experience
61,16061,20250623,1512,11,6,Detractor,Delivery
62,43016,20230803,1868,9,8,Passive,Product quality
63,24157,20240524,1236,11,4,Detractor,Support
64,45340,20230207,995,7,7,Passive,Store experience
65,16646,20250629,443,4,10,Promoter,Product quality
66,41707,20230831,1687,10,5,Detractor,Store experience
67,56261,20240725,962,12,3,Detractor,Store experience
68,26490,20240306,1478,9,6,Detractor,Support
69,30447,20230829,447,1,8,Passive,Product quality
70,53630,20240211,659,10,7,Passive,Store experience
71,39702,20230109,851,12,6,Detractor,Website
72,57159,20251124,417,2,8,Passive,Website
73,10924,20240807,780,2,4,Detractor,Support
74,14424,20250302,128,8,5,Detractor,Delivery
75,22126,20250609,1575,2,6,Detractor,Price
76,25926,20240709,606,9,7,Passive,Delivery
77,25646,20221229,1923,3,6,Detractor,Product quality
78,21809,20240606,121,7,7,Passive,Product quality
79,24637,20251230,1545,2,5,Detractor,Support
80,12733,20251104,771,1,10,Promoter,Product quality
81,43288,20250803,1906,9,6,Detractor,Price
82,6580,20220428,918,9,7,Passive,Product quality
83,38538,20240819,1745,12,6,Detractor,Support
84,5403,20240505,1005,8,6,Detractor,Website
85,43302,20240814,396,6,6,Detractor,Support
86,1309,20240204,1868,11,6,Detractor,Product quality
87,25056,20250109,1956,8,6,Detractor,Store experience
88,42791,20241114,1029,8,10,Promoter,Delivery
89,38402,20251002,985,1,8,Passive,Store experience
90,48326,20231202,1352,11,8,Passive,Store experience
91,51373,20250219,942,1,10,Promoter,Store experience
92,19601,20250110,1424,4,6,Detractor,Website
93,36870,20221015,1122,12,9,Promoter,Price
94,21517,20251205,1388,3,9,Promoter,Support
95,24829,20230904,1256,3,9,Promoter,Website
96,20032,20240728,823,5,8,Passive,Delivery
97,8424,20230812,1594,2,5,Detractor,Price
98,29502,20250218,1515,4,6,Detractor,Product quality
99,22623,20250402,160,10,7,Passive,Website
100,1351,20230106,1519,8,7,Passive,Price
101,24628,20251230,1769,5,7,Passive,Store experience
102,9529,20240427,73,1,9,Promoter,Product quality
