DateKey,CurrencyCode,RateToEUR,RateToPLN
20220101,EUR,1.0,4.55
20220101,PLN,0.21978,0.999999
20220101,USD,0.952381,4.333334
20220101,GBP,1.162791,5.290699
20220101,SEK,0.090909,0.413636
20220102,EUR,1.0,4.551667
20220102,PLN,0.2197,1.000001
20220102,USD,0.951346,4.33021
20220102,GBP,1.162453,5.291099
20220102,SEK,0.090851,0.413523
20220103,EUR,1.0,4.553333
20220103,PLN,0.219619,0.999998
20220103,USD,0.950313,4.327092
20220103,GBP,1.162115,5.291497
20220103,SEK,0.090794,0.413415
20220104,EUR,1.0,4.554999
20220104,PLN,0.219539,1.0
20220104,USD,0.949282,4.323979
20220104,GBP,1.161778,5.291898
20220104,SEK,0.090736,0.413302
20220105,EUR,1.0,4.556664
20220105,PLN,0.219459,1.000001
20220105,USD,0.948255,4.32088
20220105,GBP,1.16144,5.292292
20220105,SEK,0.090678,0.413189
20220106,EUR,1.0,4.558329
20220106,PLN,0.219379,1.000002
20220106,USD,0.94723,4.317786
20220106,GBP,1.161104,5.292694
20220106,SEK,0.090621,0.41308
20220107,EUR,1.0,4.559993
20220107,PLN,0.219299,1.000002
20220107,USD,0.946209,4.314706
20220107,GBP,1.160767,5.293089
20220107,SEK,0.090564,0.412971
20220108,EUR,1.0,4.561655
20220108,PLN,0.219219,1.000001
20220108,USD,0.945191,4.311635
20220108,GBP,1.160431,5.293486
20220108,SEK,0.090506,0.412857
20220109,EUR,1.0,4.563316
20220109,PLN,0.219139,1.0
20220109,USD,0.944177,4.308578
20220109,GBP,1.160095,5.29388
20220109,SEK,0.090449,0.412747
20220110,EUR,1.0,4.564975
20220110,PLN,0.219059,0.999999
20220110,USD,0.943167,4.305534
20220110,GBP,1.159759,5.294271
20220110,SEK,0.090392,0.412637
20220111,EUR,1.0,4.566632
20220111,PLN,0.21898,1.000001
20220111,USD,0.942161,4.302503
20220111,GBP,1.159424,5.294663
20220111,SEK,0.090335,0.412527
20220112,EUR,1.0,4.568288
20220112,PLN,0.2189,0.999998
20220112,USD,0.941159,4.299485
20220112,GBP,1.159089,5.295052
20220112,SEK,0.090278,0.412416
20220113,EUR,1.0,4.569941
20220113,PLN,0.218821,0.999999
20220113,USD,0.940161,4.29648
20220113,GBP,1.158755,5.295442
20220113,SEK,0.090222,0.412309
20220114,EUR,1.0,4.571591
20220114,PLN,0.218742,0.999999
20220114,USD,0.939168,4.293492
20220114,GBP,1.158421,5.295827
20220114,SEK,0.090165,0.412198
20220115,EUR,1.0,4.573239
20220115,PLN,0.218663,0.999998
20220115,USD,0.93818,4.290522
20220115,GBP,1.158088,5.296214
20220115,SEK,0.090109,0.41209
20220116,EUR,1.0,4.574884
20220116,PLN,0.218585,1.000001
20220116,USD,0.937197,4.287568
20220116,GBP,1.157755,5.296595
20220116,SEK,0.090053,0.411982
20220117,EUR,1.0,4.576526
20220117,PLN,0.218506,0.999998
20220117,USD,0.936218,4.284626
20220117,GBP,1.157423,5.296977
20220117,SEK,0.089997,0.411874
20220118,EUR,1.0,4.578165
20220118,PLN,0.218428,0.999999
20220118,USD,0.935245,4.281706
20220118,GBP,1.157092,5.297358
20220118,SEK,0.089941,0.411765
20220119,EUR,1.0,4.5798
20220119,PLN,0.21835,0.999999
20220119,USD,0.934278,4.278807
20220119,GBP,1.156761,5.297734
20220119,SEK,0.089885,0.411655
20220120,EUR,1.0,4.581432
20220120,PLN,0.218272,0.999998
20220120,USD,0.933316,4.275924
20220120,GBP,1.15643,5.298105
20220120,SEK,0.089829,0.411545
20220121,EUR,1.0,4.58306
20220121,PLN,0.218195,1.000001
20220121,USD,0.93236,4.273062
20220121,GBP,1.1561,5.298475
20220121,SEK,0.089774,0.41144
20220122,EUR,1.0,4.584683
20220122,PLN,0.218118,1.000002
20220122,USD,0.931409,4.270215
20220122,GBP,1.155771,5.298844
20220122,SEK,0.089719,0.411333
20220123,EUR,1.0,4.586303
20220123,PLN,0.218041,1.000002
20220123,USD,0.930465,4.267394
20220123,GBP,1.155443,5.299211
20220123,SEK,0.089664,0.411226
20220124,EUR,1.0,4.587917
20220124,PLN,0.217964,1.000001
