SessionID,DateKey,CustomerKey,MarketingChannel,DeviceType,PageViews,DurationSeconds,ConvertedOrderNumber,CampaignCode
WEB-00000001,20250904,397,Email,Desktop,7,288,SO-2023-944355,NONE
WEB-00000002,20230406,709,Paid Search,Tablet,4,882,,BIKEPRO
WEB-00000003,20250530,277,Social,Mobile,6,1717,SO-2024-870309,SUMMER
WEB-00000004,20220420,1476,Paid Search,Desktop,12,1039,SO-2024-921558,WELCOME
WEB-00000005,20221023,56,Affiliate,Tablet,12,779,,VIP
WEB-00000006,20251118,535,Paid Search,Desktop,3,908,,WINTER
WEB-00000007,20240817,1410,Referral,Desktop,12,288,,BIKEPRO
WEB-00000008,20250919,1661,Social,Mobile,10,285,,BIKEPRO
WEB-00000009,20240817,586,Social,Mobile,6,1255,,WINTER
WEB-00000010,20231120,1787,Email,Desktop,5,1166,,VIP
WEB-00000011,20240517,1634,Direct,Tablet,3,1295,SO-2024-462483,WELCOME
WEB-00000012,20240307,785,Social,Mobile,7,570,,NONE
WEB-00000013,20241101,1867,Organic Search,Tablet,4,1038,,BIKEPRO
WEB-00000014,20230126,888,Affiliate,Tablet,1,799,,VIP
WEB-00000015,20241206,139,Affiliate,Desktop,3,1545,,SUMMER
WEB-00000016,20250522,1989,Referral,Desktop,6,186,,SUMMER
WEB-00000017,20241218,1694,Social,Mobile,7,1682,,WELCOME
WEB-00000018,20230712,871,Social,Desktop,3,1176,,WELCOME
WEB-00000019,20231217,312,Direct,Tablet,2,1163,,WELCOME
WEB-00000020,20231020,1686,Paid Search,Desktop,1,401,,BIKEPRO
WEB-00000021,20241118,1248,Direct,Tablet,4,1528,,WINTER
WEB-00000022,20240919,138,Referral,Desktop,9,1048,,NONE
WEB-00000023,20241118,912,Referral,Tablet,1,1487,,VIP
WEB-00000024,20220612,706,Organic Search,Tablet,6,1121,,VIP
WEB-00000025,20230515,294,Paid Search,Desktop,3,452,,WELCOME
WEB-00000026,20220116,1642,Affiliate,Mobile,8,255,,SUMMER
WEB-00000027,20250719,697,Affiliate,Tablet,8,1485,SO-2024-695686,BIKEPRO
WEB-00000028,20250103,1362,Organic Search,Tablet,6,1563,,WELCOME
WEB-00000029,20240208,1759,Paid Search,Desktop,6,368,,WINTER
WEB-00000030,20231222,846,Paid Search,Mobile,2,65,,VIP
WEB-00000031,20250119,1955,Email,Desktop,1,680,,WINTER
WEB-00000032,20220131,370,Paid Search,Tablet,7,1275,,VIP
WEB-00000033,20240813,631,Paid Search,Mobile,7,1474,SO-2024-777367,WINTER
WEB-00000034,20231110,136,Direct,Tablet,5,1087,,NONE
WEB-00000035,20230517,938,Affiliate,Tablet,6,1447,SO-2025-366419,VIP
WEB-00000036,20230629,117,Direct,Tablet,5,970,,SUMMER
